"season_id","player_id","position","season_coverage_grade","snap_count"
"2019","12259","CB","29.8",38
"2019","12224","CB","60",1
"2019","26940","CB","65",13
"2019","24750","S","60.6",50
"2019","25444","S","62.8",13
"2019","25445","CB","67.7",97
"2019","25546","S","60",1
"2019","27130","CB","53",35
"2019","31342","S","60",1
"2019","28704","CB","57.2",59
"2019","28854","S","60.6",2
"2019","33356","CB","25",54
"2019","34222","CB","49",13
"2019","33880","S","60",1
"2019","35978","CB","30.4",50
"2019","35978","S","30.4",50
"2019","34247","S","72.4",88
"2019","34646","S","46.2",26
"2019","34105","CB","43.2",8
"2019","42781","CB","43.2",64
"2019","41968","CB","53.2",36
"2019","43034","CB","62.8",81
"2019","49048","S","59.9",81
"2019","43254","CB","75.2",57
"2019","44027","CB","67.6",98
"2019","49206","S","46.1",67
"2019","49255","CB","46.1",19
"2019","49268","S","61.4",4
"2019","49335","CB","49.7",91
"2019","49339","CB","72.2",62
"2019","49350","CB","78.5",96
"2019","49059","CB","48.8",98
"2019","49352","CB","61.5",20
"2019","49354","CB","60",1
"2019","49368","CB","48.5",8
"2019","49154","S","61.2",7
"2019","49371","S","61.5",4
"2019","49377","CB","55.6",74
"2019","49394","CB","36.3",6
"2019","49355","CB","50.8",56
"2019","49397","CB","58.3",61
"2019","49162","S","29.9",53
"2019","49454","CB","65",5
"2019","49178","S","53.8",95
"2019","49507","CB","75.9",2
"2019","49511","CB","65.2",21
"2019","49196","S","53.8",82
"2019","49558","CB","42.3",70
"2019","49564","CB","66.3",65
"2019","50353","CB","47.8",2
"2019","49569","CB","62.7",4
"2019","50380","CB","38.6",37
"2019","50393","CB","55.1",70
"2019","50417","S","60.2",2
"2019","50426","S","69.6",82
"2019","50430","CB","65.1",31
"2019","50458","S","61.4",5
"2019","50473","CB","44.8",46
"2019","50543","CB","57.1",81
"2019","50564","CB","42.2",60
"2019","50365","CB","43.9",81
"2019","51336","S","66",28
"2019","51172","S","73.4",59
"2019","51206","S","30.3",58
"2019","51220","S","62.4",19
"2019","51241","S","67.7",6
"2019","51266","S","73.1",104
"2019","51282","S","54.2",53
"2019","51304","S","69",29
"2019","51334","S","53.6",86
"2019","55615","CB","50.8",38
"2019","56167","CB","28.7",6
"2019","51378","S","58.4",38
"2019","51391","S","60",1
"2019","51596","CB","68.3",70
"2019","83833","CB","44.1",2
"2019","4454","CB","76.3",102
"2019","2969","CB","58.4",146
"2019","3152","S","54.6",115
"2019","3653","S","71.7",99
"2019","4330","CB","41.5",33
"2019","4334","CB","64.8",127
"2019","4937","S","58.9",116
"2019","3558","CB","74.2",99
"2019","5557","S","60.1",1
"2019","4957","S","82.4",82
"2019","5127","CB","83.2",109
"2019","5532","CB","53.2",120
"2019","5596","S","53.1",53
"2019","5539","S","70.6",120
"2019","5545","S","70.9",81
"2019","5552","S","81.9",116
"2019","5667","CB","61.5",2
"2019","6171","CB","62",151
"2019","5686","S","67.9",8
"2019","5820","S","52.3",33
"2019","5903","CB","54.1",118
"2019","6013","S","56.5",23
"2019","6118","S","64.9",64
"2019","6179","CB","64.7",5
"2019","6289","CB","52.3",108
"2019","7016","CB","79.4",115
"2019","6306","CB","75.6",116
"2019","6457","CB","62.8",85
"2019","7023","CB","53.3",93
"2019","7641","S","78.6",125
"2019","7271","S","62.8",119
"2019","7279","S","64",28
"2019","7288","S","51.2",140
"2019","7043","CB","31",118
"2019","7051","S","86.7",20
"2019","7064","CB","82.4",106
"2019","7067","CB","49.9",57
"2019","7374","CB","76.2",12
"2019","7649","CB","43.4",114
"2019","7654","CB","61.1",2
"2019","7835","CB","59.5",30
"2019","7793","CB","64.8",96
"2019","7796","S","57.6",118
"2019","7799","S","51.1",125
"2019","7803","CB","75.5",107
"2019","7806","CB","59.5",117
"2019","7851","CB","67.1",8
"2019","7864","CB","75.4",114
"2019","7865","S","57.4",83
"2019","7872","S","61.8",84
"2019","7814","S","70.7",2
"2019","7817","CB","60.1",127
"2019","7896","CB","43.1",38
"2019","7941","S","79.5",135
"2019","7838","S","37.5",121
"2019","7850","S","63.3",123
"2019","8220","S","68.1",126
"2019","8000","S","73.9",128
"2019","8026","S","54.8",21
"2019","8102","S","72.6",10
"2019","8110","CB","59.5",97
"2019","8361","S","59.3",115
"2019","8334","CB","62.1",149
"2019","8396","S","75.6",124
"2019","8649","CB","64",152
"2019","8458","S","60",1
"2019","8483","CB","65.1",102
"2019","8676","CB","29.9",95
"2019","8656","S","76.6",142
"2019","8660","CB","24.1",2
"2019","8666","CB","62.8",147
"2019","8760","S","34.1",25
"2019","8736","S","53.5",37
"2019","8737","CB","56.6",136
"2019","8744","CB","64.2",66
"2019","8749","CB","28.4",40
"2019","8714","S","61.4",40
"2019","8722","CB","60",1
"2019","8762","CB","61.2",100
"2019","8763","S","65.4",130
"2019","9040","CB","45.2",122
"2019","8782","S","56",106
"2019","8817","S","64.3",13
"2019","9177","S","57.1",53
"2019","8853","CB","67",80
"2019","8888","CB","53.3",56
"2019","9243","CB","65.5",5
"2019","9253","S","61.5",35
"2019","9463","S","58.4",31
"2019","9449","CB","49.6",45
"2019","9451","CB","71.9",130
"2019","9460","CB","74.7",95
"2019","9511","CB","56.1",112
"2019","9332","CB","79.8",76
"2019","9444","CB","65.3",118
"2019","9479","S","62.8",111
"2019","9480","CB","42.5",98
"2019","9483","CB","40.1",85
"2019","9466","S","69",114
"2019","9881","CB","28.1",4
"2019","9531","CB","78",121
"2019","9542","S","51.1",101
"2019","9633","S","51.9",150
"2019","9575","S","64.9",125
"2019","9578","S","71.3",93
"2019","9680","CB","47.1",137
"2019","9682","S","64",4
"2019","9698","S","41.6",93
"2019","9892","CB","71.8",143
"2019","9966","S","53",8
"2019","9895","S","87.2",127
"2019","10057","CB","83.8",19
"2019","10057","CB","83.8",19
"2019","10346","S","47.3",28
"2019","9940","S","41.3",7
"2019","10073","CB","57.4",37
"2019","10651","S","42",91
"2019","10109","S","43.7",66
"2019","10672","CB","46.5",101
"2019","10639","CB","57.8",132
"2019","10644","CB","59.2",139
"2019","10645","CB","60",137
"2019","10648","S","48.5",82
"2019","10688","CB","54.3",15
"2019","10692","S","55.8",35
"2019","10694","CB","54.8",7
